PERIOD 1: 9/8/16 - 9/12/16 MATCHUPS,@,RESULTS,,
Solna Big Moose (L),Bagarmossen Barbarians (W),79.0 - 84.0,,
Hjorthagen Highlanders (W),Danderyd Dragons (L),128.0 - 97.0,,
Saltis 73'ers (L),Gröna Dalens Vildhästar (W),124.0 - 161.0,,
Lindesberg Latecomers (W),Nya Englands Patrioter (L),115.0 - 79.0,,
Gooberville Sea Lions (L),Vendelso Villains (W),61.0 - 108.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gröna Dalens Vildhästar,1,0,0,161
Danderyd Dragons,0,1,0,97
Nya Englands Patrioter,0,1,0,79
Solna Big Moose,0,1,0,79
Gooberville Sea Lions,0,1,0,61
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,1,0,0,128
Lindesberg Latecomers,1,0,0,115
Vendelso Villains,1,0,0,108
Bagarmossen Barbarians,1,0,0,84
Saltis 73'ers,0,1,0,124
PERIOD 2: 9/13/16 - 9/19/16 MATCHUPS,@,RESULTS,,
Nya Englands Patrioter (L),Saltis 73'ers (W),84.0 - 135.0,,
Gröna Dalens Vildhästar (L),Hjorthagen Highlanders (W),90.0 - 94.0,,
Danderyd Dragons (W),Lindesberg Latecomers (L),81.0 - 64.0,,
Bagarmossen Barbarians (W),Gooberville Sea Lions (L),100.0 - 95.0,,
Solna Big Moose (L),Vendelso Villains (W),113.0 - 120.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gröna Dalens Vildhästar,1,1,0,251
Danderyd Dragons,1,1,0,178
Solna Big Moose,0,2,0,192
Nya Englands Patrioter,0,2,0,163
Gooberville Sea Lions,0,2,0,156
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Vendelso Villains,2,0,0,228
Hjorthagen Highlanders,2,0,0,222
Bagarmossen Barbarians,2,0,0,184
Saltis 73'ers,1,1,0,259
Lindesberg Latecomers,1,1,0,179
PERIOD 3: 9/20/16 - 9/26/16 MATCHUPS,@,RESULTS,,
Danderyd Dragons (W),Bagarmossen Barbarians (L),84.0 - 66.0,,
Lindesberg Latecomers (W),Saltis 73'ers (L),148.0 - 60.0,,
Vendelso Villains (W),Gröna Dalens Vildhästar (L),114.0 - 109.0,,
Nya Englands Patrioter (L),Hjorthagen Highlanders (W),107.0 - 122.0,,
Gooberville Sea Lions (W),Solna Big Moose (L),95.0 - 83.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Danderyd Dragons,2,1,0,262
Gröna Dalens Vildhästar,1,2,0,360
Gooberville Sea Lions,1,2,0,251
Solna Big Moose,0,3,0,275
Nya Englands Patrioter,0,3,0,270
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,3,0,0,344
Vendelso Villains,3,0,0,342
Lindesberg Latecomers,2,1,0,327
Bagarmossen Barbarians,2,1,0,250
Saltis 73'ers,1,2,0,319
PERIOD 4: 9/27/16 - 10/3/16 MATCHUPS,@,RESULTS,,
Bagarmossen Barbarians (L),Lindesberg Latecomers (W),87.0 - 90.0,,
Saltis 73'ers (L),Solna Big Moose (W),77.0 - 104.0,,
Gröna Dalens Vildhästar (L),Nya Englands Patrioter (W),83.0 - 86.0,,
Vendelso Villains (L),Danderyd Dragons (W),97.0 - 130.0,,
Hjorthagen Highlanders (W),Gooberville Sea Lions (L),150.0 - 108.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Danderyd Dragons,3,1,0,392
Gröna Dalens Vildhästar,1,3,0,443
Solna Big Moose,1,3,0,379
Gooberville Sea Lions,1,3,0,359
Nya Englands Patrioter,1,3,0,356
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,4,0,0,494
Vendelso Villains,3,1,0,439
Lindesberg Latecomers,3,1,0,417
Bagarmossen Barbarians,2,2,0,337
Saltis 73'ers,1,3,0,396
PERIOD 5: 10/4/16 - 10/10/16 MATCHUPS,@,RESULTS,,
Solna Big Moose (L),Gröna Dalens Vildhästar (W),80.0 - 88.0,,
Saltis 73'ers (L),Hjorthagen Highlanders (W),115.0 - 141.0,,
Nya Englands Patrioter (W),Bagarmossen Barbarians (L),117.0 - 91.0,,
Lindesberg Latecomers (W),Vendelso Villains (L),110.0 - 89.0,,
Gooberville Sea Lions (L),Danderyd Dragons (W),84.0 - 108.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Danderyd Dragons,4,1,0,500
Gröna Dalens Vildhästar,2,3,0,531
Nya Englands Patrioter,2,3,0,473
Solna Big Moose,1,4,0,459
Gooberville Sea Lions,1,4,0,443
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,5,0,0,635
Lindesberg Latecomers,4,1,0,527
Vendelso Villains,3,2,0,528
Bagarmossen Barbarians,2,3,0,428
Saltis 73'ers,1,4,0,511
PERIOD 6: 10/11/16 - 10/17/16 MATCHUPS,@,RESULTS,,
Bagarmossen Barbarians (L),Vendelso Villains (W),84.0 - 121.0,,
Gröna Dalens Vildhästar (W),Danderyd Dragons (L),95.0 - 67.0,,
Hjorthagen Highlanders (L),Lindesberg Latecomers (W),66.0 - 68.0,,
Saltis 73'ers (L),Gooberville Sea Lions (W),82.0 - 96.0,,
Solna Big Moose (L),Nya Englands Patrioter (W),65.0 - 157.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Danderyd Dragons,4,2,0,567
Nya Englands Patrioter,3,3,0,630
Gröna Dalens Vildhästar,3,3,0,626
Gooberville Sea Lions,2,4,0,539
Solna Big Moose,1,5,0,524
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,5,1,0,701
Lindesberg Latecomers,5,1,0,595
Vendelso Villains,4,2,0,649
Bagarmossen Barbarians,2,4,0,512
Saltis 73'ers,1,5,0,593
PERIOD 7: 10/18/16 - 10/24/16 MATCHUPS,@,RESULTS,,
Lindesberg Latecomers (W),Solna Big Moose (L),137.0 - 84.0,,
Hjorthagen Highlanders (W),Vendelso Villains (L),105.0 - 85.0,,
Gooberville Sea Lions (L),Gröna Dalens Vildhästar (W),89.0 - 111.0,,
Bagarmossen Barbarians (L),Saltis 73'ers (W),90.0 - 112.0,,
Danderyd Dragons (L),Nya Englands Patrioter (W),82.0 - 101.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gröna Dalens Vildhästar,4,3,0,737
Nya Englands Patrioter,4,3,0,731
Danderyd Dragons,4,3,0,649
Gooberville Sea Lions,2,5,0,628
Solna Big Moose,1,6,0,608
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,6,1,0,806
Lindesberg Latecomers,6,1,0,732
Vendelso Villains,4,3,0,734
Saltis 73'ers,2,5,0,705
Bagarmossen Barbarians,2,5,0,602
PERIOD 8: 10/25/16 - 10/31/16 MATCHUPS,@,RESULTS,,
Hjorthagen Highlanders (W),Bagarmossen Barbarians (L),102.0 - 89.0,,
Gooberville Sea Lions (L),Nya Englands Patrioter (W),79.0 - 135.0,,
Vendelso Villains (W),Saltis 73'ers (L),101.0 - 93.0,,
Lindesberg Latecomers (L),Gröna Dalens Vildhästar (W),83.0 - 98.0,,
Solna Big Moose (W),Danderyd Dragons (L),102.0 - 98.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,5,3,0,866
Gröna Dalens Vildhästar,5,3,0,835
Danderyd Dragons,4,4,0,747
Solna Big Moose,2,6,0,710
Gooberville Sea Lions,2,6,0,707
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,7,1,0,908
Lindesberg Latecomers,6,2,0,815
Vendelso Villains,5,3,0,835
Saltis 73'ers,2,6,0,798
Bagarmossen Barbarians,2,6,0,691
PERIOD 9: 11/1/16 - 11/7/16 MATCHUPS,@,RESULTS,,
Lindesberg Latecomers (W),Bagarmossen Barbarians (L),136.0 - 69.0,,
Solna Big Moose (L),Gooberville Sea Lions (W),96.0 - 119.0,,
Saltis 73'ers (W),Hjorthagen Highlanders (L),100.0 - 83.0,,
Danderyd Dragons (L),Gröna Dalens Vildhästar (W),95.0 - 102.0,,
Vendelso Villains (T),Nya Englands Patrioter (T),104.0 - 104.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gröna Dalens Vildhästar,6,3,0,937
Nya Englands Patrioter,5,3,1,970
Danderyd Dragons,4,5,0,842
Gooberville Sea Lions,3,6,0,826
Solna Big Moose,2,7,0,806
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,7,2,0,991
Lindesberg Latecomers,7,2,0,951
Vendelso Villains,5,3,1,939
Saltis 73'ers,3,6,0,898
Bagarmossen Barbarians,2,7,0,760
PERIOD 10: 11/8/16 - 11/14/16 MATCHUPS,@,RESULTS,,
Vendelso Villains (W),Bagarmossen Barbarians (L),104.0 - 88.0,,
Nya Englands Patrioter (W),Danderyd Dragons (L),124.0 - 107.0,,
Saltis 73'ers (W),Lindesberg Latecomers (L),94.0 - 81.0,,
Hjorthagen Highlanders (W),Solna Big Moose (L),131.0 - 115.0,,
Gröna Dalens Vildhästar (T),Gooberville Sea Lions (T),97.0 - 97.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,6,3,1,1094
Gröna Dalens Vildhästar,6,3,1,1034
Danderyd Dragons,4,6,0,949
Gooberville Sea Lions,3,6,1,923
Solna Big Moose,2,8,0,921
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,8,2,0,1122
Lindesberg Latecomers,7,3,0,1032
Vendelso Villains,6,3,1,1043
