PERIOD 1: 9/10/15 - 9/14/15 MATCHUPS,@,RESULTS,,
Solna Big Moose (L),Lindesberg Latecomers (W),74.0 - 120.0,,
Hjorthagen Highlanders (L),Nya Englands Patrioter (W),82.0 - 141.0,,
Gooberville Sea Lions (L),Saltis 73'ers (W),81.0 - 110.0,,
Vendelso Villains (L),Gröna Dalens Vildhästar (W),89.0 - 99.0,,
Danderyd Dragons (W),Bagarmossen Barbarians (L),108.0 - 79.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,1,0,0,141
Danderyd Dragons,1,0,0,108
Gröna Dalens Vildhästar,1,0,0,99
Gooberville Sea Lions,0,1,0,81
Solna Big Moose,0,1,0,74
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Lindesberg Latecomers,1,0,0,120
Saltis 73'ers,1,0,0,110
Vendelso Villains,0,1,0,89
Hjorthagen Highlanders,0,1,0,82
Bagarmossen Barbarians,0,1,0,79
PERIOD 2: 9/15/15 - 9/21/15 MATCHUPS,@,RESULTS,,
Gröna Dalens Vildhästar (L),Hjorthagen Highlanders (W),55.0 - 102.0,,
Vendelso Villains (L),Nya Englands Patrioter (W),102.0 - 144.0,,
Lindesberg Latecomers (L),Danderyd Dragons (W),61.0 - 95.0,,
Saltis 73'ers (L),Solna Big Moose (W),69.0 - 71.0,,
Gooberville Sea Lions (L),Bagarmossen Barbarians (W),76.0 - 90.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,2,0,0,285
Danderyd Dragons,2,0,0,203
Gröna Dalens Vildhästar,1,1,0,154
Solna Big Moose,1,1,0,145
Gooberville Sea Lions,0,2,0,157
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,1,1,0,184
Lindesberg Latecomers,1,1,0,181
Saltis 73'ers,1,1,0,179
Bagarmossen Barbarians,1,1,0,169
Vendelso Villains,0,2,0,191
PERIOD 3: 9/22/15 - 9/28/15 MATCHUPS,@,RESULTS,,
Gröna Dalens Vildhästar (W),Lindesberg Latecomers (L),115.0 - 98.0,,
Danderyd Dragons (L),Gooberville Sea Lions (W),125.0 - 134.0,,
Nya Englands Patrioter (L),Saltis 73'ers (W),79.0 - 128.0,,
Bagarmossen Barbarians (L),Solna Big Moose (W),105.0 - 123.0,,
Hjorthagen Highlanders (W),Vendelso Villains (L),127.0 - 103.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,2,1,0,364
Danderyd Dragons,2,1,0,328
Gröna Dalens Vildhästar,2,1,0,269
Solna Big Moose,2,1,0,268
Gooberville Sea Lions,1,2,0,291
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,2,1,0,311
Saltis 73'ers,2,1,0,307
Lindesberg Latecomers,1,2,0,279
Bagarmossen Barbarians,1,2,0,274
Vendelso Villains,0,3,0,294
PERIOD 4: 9/29/15 - 10/5/15 MATCHUPS,@,RESULTS,,
Gooberville Sea Lions (W),Vendelso Villains (L),98.0 - 81.0,,
Gröna Dalens Vildhästar (W),Danderyd Dragons (L),110.0 - 77.0,,
Nya Englands Patrioter (W),Lindesberg Latecomers (L),91.0 - 77.0,,
Solna Big Moose (W),Hjorthagen Highlanders (L),79.0 - 71.0,,
Saltis 73'ers (W),Bagarmossen Barbarians (L),89.0 - 64.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,3,1,0,455
Gröna Dalens Vildhästar,3,1,0,379
Solna Big Moose,3,1,0,347
Danderyd Dragons,2,2,0,405
Gooberville Sea Lions,2,2,0,389
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Saltis 73'ers,3,1,0,396
Hjorthagen Highlanders,2,2,0,382
Lindesberg Latecomers,1,3,0,356
Bagarmossen Barbarians,1,3,0,338
Vendelso Villains,0,4,0,375
PERIOD 5: 10/6/15 - 10/12/15 MATCHUPS,@,RESULTS,,
Vendelso Villains (W),Saltis 73'ers (L),117.0 - 70.0,,
Danderyd Dragons (W),Nya Englands Patrioter (L),89.0 - 84.0,,
Bagarmossen Barbarians (L),Gröna Dalens Vildhästar (W),95.0 - 113.0,,
Solna Big Moose (L),Gooberville Sea Lions (W),90.0 - 99.0,,
Hjorthagen Highlanders (L),Lindesberg Latecomers (W),99.0 - 103.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gröna Dalens Vildhästar,4,1,0,492
Nya Englands Patrioter,3,2,0,539
Danderyd Dragons,3,2,0,494
Gooberville Sea Lions,3,2,0,488
Solna Big Moose,3,2,0,437
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Saltis 73'ers,3,2,0,466
Hjorthagen Highlanders,2,3,0,481
Lindesberg Latecomers,2,3,0,459
Vendelso Villains,1,4,0,492
Bagarmossen Barbarians,1,4,0,433
PERIOD 6: 10/13/15 - 10/19/15 MATCHUPS,@,RESULTS,,
Saltis 73'ers (L),Lindesberg Latecomers (W),114.0 - 121.0,,
Gröna Dalens Vildhästar (W),Nya Englands Patrioter (L),110.0 - 93.0,,
Solna Big Moose (W),Danderyd Dragons (L),71.0 - 70.0,,
Hjorthagen Highlanders (L),Gooberville Sea Lions (W),90.0 - 120.0,,
Vendelso Villains (W),Bagarmossen Barbarians (L),110.0 - 101.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gröna Dalens Vildhästar,5,1,0,602
Gooberville Sea Lions,4,2,0,608
Solna Big Moose,4,2,0,508
Nya Englands Patrioter,3,3,0,632
Danderyd Dragons,3,3,0,564
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Saltis 73'ers,3,3,0,580
Lindesberg Latecomers,3,3,0,580
Vendelso Villains,2,4,0,602
Hjorthagen Highlanders,2,4,0,571
Bagarmossen Barbarians,1,5,0,534
PERIOD 7: 10/20/15 - 10/26/15 MATCHUPS,@,RESULTS,,
Danderyd Dragons (L),Vendelso Villains (W),100.0 - 103.0,,
Nya Englands Patrioter (W),Solna Big Moose (L),103.0 - 57.0,,
Hjorthagen Highlanders (W),Saltis 73'ers (L),128.0 - 78.0,,
Gooberville Sea Lions (W),Gröna Dalens Vildhästar (L),98.0 - 93.0,,
Lindesberg Latecomers (W),Bagarmossen Barbarians (L),123.0 - 117.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gooberville Sea Lions,5,2,0,706
Gröna Dalens Vildhästar,5,2,0,695
Nya Englands Patrioter,4,3,0,735
Solna Big Moose,4,3,0,565
Danderyd Dragons,3,4,0,664
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Lindesberg Latecomers,4,3,0,703
Vendelso Villains,3,4,0,705
Hjorthagen Highlanders,3,4,0,699
Saltis 73'ers,3,4,0,658
Bagarmossen Barbarians,1,6,0,651
PERIOD 8: 10/27/15 - 11/2/15 MATCHUPS,@,RESULTS,,
Bagarmossen Barbarians (L),Hjorthagen Highlanders (W),109.0 - 112.0,,
Nya Englands Patrioter (L),Gooberville Sea Lions (W),94.0 - 142.0,,
Solna Big Moose (L),Gröna Dalens Vildhästar (W),55.0 - 97.0,,
Saltis 73'ers (W),Danderyd Dragons (L),89.0 - 64.0,,
Lindesberg Latecomers (L),Vendelso Villains (W),80.0 - 117.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gooberville Sea Lions,6,2,0,848
Gröna Dalens Vildhästar,6,2,0,792
Nya Englands Patrioter,4,4,0,829
Solna Big Moose,4,4,0,620
Danderyd Dragons,3,5,0,728
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Vendelso Villains,4,4,0,822
Hjorthagen Highlanders,4,4,0,811
Lindesberg Latecomers,4,4,0,783
Saltis 73'ers,4,4,0,747
Bagarmossen Barbarians,1,7,0,760
PERIOD 9: 11/3/15 - 11/9/15 MATCHUPS,@,RESULTS,,
Vendelso Villains (L),Hjorthagen Highlanders (W),97.0 - 100.0,,
Gooberville Sea Lions (W),Solna Big Moose (L),132.0 - 75.0,,
Lindesberg Latecomers (W),Saltis 73'ers (L),113.0 - 83.0,,
Danderyd Dragons (L),Gröna Dalens Vildhästar (W),134.0 - 150.0,,
Nya Englands Patrioter (L),Bagarmossen Barbarians (W),81.0 - 93.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gooberville Sea Lions,7,2,0,980
Gröna Dalens Vildhästar,7,2,0,942
Nya Englands Patrioter,4,5,0,910
Solna Big Moose,4,5,0,695
Danderyd Dragons,3,6,0,862
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,5,4,0,911
Lindesberg Latecomers,5,4,0,896
Vendelso Villains,4,5,0,919
Saltis 73'ers,4,5,0,830
Bagarmossen Barbarians,2,7,0,853
PERIOD 10: 11/10/15 - 11/16/15 MATCHUPS,@,RESULTS,,
Bagarmossen Barbarians (W),Lindesberg Latecomers (L),110.0 - 62.0,,
Gooberville Sea Lions (L),Danderyd Dragons (W),86.0 - 117.0,,
Saltis 73'ers (L),Hjorthagen Highlanders (W),68.0 - 76.0,,
Nya Englands Patrioter (W),Gröna Dalens Vildhästar (L),97.0 - 96.0,,
Solna Big Moose (W),Vendelso Villains (L),116.0 - 86.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gooberville Sea Lions,7,3,0,1066
Gröna Dalens Vildhästar,7,3,0,1038
Nya Englands Patrioter,5,5,0,1007
Solna Big Moose,5,5,0,811
Danderyd Dragons,4,6,0,979
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,6,4,0,987
Lindesberg Latecomers,5,5,0,958
Vendelso Villains,4,6,0,1005
Saltis 73'ers,4,6,0,898
Bagarmossen Barbarians,3,7,0,963
PERIOD 11: 11/17/15 - 11/23/15 MATCHUPS,@,RESULTS,,
