PERIOD 1: 9/4/14 - 9/8/14 MATCHUPS,@,RESULTS,,
Gröna Dalens Vildhästar (W),Bagarmossen Barbarians (L),118.0 - 48.0,,
Hjorthagen Highlanders (W),Danderyd Dragons (L),111.0 - 107.0,,
Nya Englands Patrioter (W),Lindesberg Latecomers (L),86.0 - 78.0,,
Vendelso Villains (L),Solna Big Moose (W),103.0 - 122.0,,
Saltis 73'ers (L),Gooberville Sea Lions (W),92.0 - 122.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Solna Big Moose,1,0,0,122
Gooberville Sea Lions,1,0,0,122
Gröna Dalens Vildhästar,1,0,0,118
Nya Englands Patrioter,1,0,0,86
Danderyd Dragons,0,1,0,107
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,1,0,0,111
Vendelso Villains,0,1,0,103
Saltis 73'ers,0,1,0,92
Lindesberg Latecomers,0,1,0,78
Bagarmossen Barbarians,0,1,0,48
PERIOD 2: 9/9/14 - 9/15/14 MATCHUPS,@,RESULTS,,
Bagarmossen Barbarians (W),Nya Englands Patrioter (L),142.0 - 80.0,,
Gröna Dalens Vildhästar (L),Lindesberg Latecomers (W),79.0 - 94.0,,
Danderyd Dragons (W),Saltis 73'ers (L),110.0 - 68.0,,
Solna Big Moose (L),Hjorthagen Highlanders (W),67.0 - 76.0,,
Vendelso Villains (L),Gooberville Sea Lions (W),71.0 - 108.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gooberville Sea Lions,2,0,0,230
Danderyd Dragons,1,1,0,217
Gröna Dalens Vildhästar,1,1,0,197
Solna Big Moose,1,1,0,189
Nya Englands Patrioter,1,1,0,166
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,2,0,0,187
Bagarmossen Barbarians,1,1,0,190
Lindesberg Latecomers,1,1,0,172
Vendelso Villains,0,2,0,174
Saltis 73'ers,0,2,0,160
PERIOD 3: 9/16/14 - 9/22/14 MATCHUPS,@,RESULTS,,
Nya Englands Patrioter (L),Gröna Dalens Vildhästar (W),74.0 - 93.0,,
Saltis 73'ers (L),Vendelso Villains (W),84.0 - 97.0,,
Lindesberg Latecomers (L),Solna Big Moose (W),92.0 - 127.0,,
Gooberville Sea Lions (W),Hjorthagen Highlanders (L),102.0 - 72.0,,
Bagarmossen Barbarians (L),Danderyd Dragons (W),58.0 - 72.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gooberville Sea Lions,3,0,0,332
Solna Big Moose,2,1,0,316
Gröna Dalens Vildhästar,2,1,0,290
Danderyd Dragons,2,1,0,289
Nya Englands Patrioter,1,2,0,240
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,2,1,0,259
Vendelso Villains,1,2,0,271
Lindesberg Latecomers,1,2,0,264
Bagarmossen Barbarians,1,2,0,248
Saltis 73'ers,0,3,0,244
PERIOD 4: 9/23/14 - 9/29/14 MATCHUPS,@,RESULTS,,
Bagarmossen Barbarians (W),Saltis 73'ers (L),134.0 - 114.0,,
Vendelso Villains (W),Gröna Dalens Vildhästar (L),108.0 - 85.0,,
Lindesberg Latecomers (L),Danderyd Dragons (W),52.0 - 100.0,,
Hjorthagen Highlanders (L),Nya Englands Patrioter (W),75.0 - 77.0,,
Solna Big Moose (L),Gooberville Sea Lions (W),50.0 - 111.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gooberville Sea Lions,4,0,0,443
Danderyd Dragons,3,1,0,389
Gröna Dalens Vildhästar,2,2,0,375
Solna Big Moose,2,2,0,366
Nya Englands Patrioter,2,2,0,317
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Bagarmossen Barbarians,2,2,0,382
Vendelso Villains,2,2,0,379
Hjorthagen Highlanders,2,2,0,334
Lindesberg Latecomers,1,3,0,316
Saltis 73'ers,0,4,0,358
PERIOD 5: 9/30/14 - 10/6/14 MATCHUPS,@,RESULTS,,
Gooberville Sea Lions (W),Bagarmossen Barbarians (L),127.0 - 108.0,,
Gröna Dalens Vildhästar (L),Solna Big Moose (W),67.0 - 114.0,,
Saltis 73'ers (L),Lindesberg Latecomers (W),66.0 - 119.0,,
Hjorthagen Highlanders (L),Vendelso Villains (W),97.0 - 102.0,,
Nya Englands Patrioter (W),Danderyd Dragons (L),117.0 - 90.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gooberville Sea Lions,5,0,0,570
Solna Big Moose,3,2,0,480
Danderyd Dragons,3,2,0,479
Nya Englands Patrioter,3,2,0,434
Gröna Dalens Vildhästar,2,3,0,442
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Vendelso Villains,3,2,0,481
Bagarmossen Barbarians,2,3,0,490
Lindesberg Latecomers,2,3,0,435
Hjorthagen Highlanders,2,3,0,431
Saltis 73'ers,0,5,0,424
PERIOD 6: 10/7/14 - 10/13/14 MATCHUPS,@,RESULTS,,
Bagarmossen Barbarians (W),Lindesberg Latecomers (L),128.0 - 77.0,,
Solna Big Moose (W),Danderyd Dragons (L),97.0 - 95.0,,
Hjorthagen Highlanders (L),Saltis 73'ers (W),91.0 - 126.0,,
Nya Englands Patrioter (W),Vendelso Villains (L),100.0 - 99.0,,
Gröna Dalens Vildhästar (L),Gooberville Sea Lions (W),77.0 - 109.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gooberville Sea Lions,6,0,0,679
Solna Big Moose,4,2,0,577
Nya Englands Patrioter,4,2,0,534
Danderyd Dragons,3,3,0,574
Gröna Dalens Vildhästar,2,4,0,519
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Bagarmossen Barbarians,3,3,0,618
Vendelso Villains,3,3,0,580
Hjorthagen Highlanders,2,4,0,522
Lindesberg Latecomers,2,4,0,512
Saltis 73'ers,1,5,0,550
PERIOD 7: 10/14/14 - 10/20/14 MATCHUPS,@,RESULTS,,
Saltis 73'ers (W),Gröna Dalens Vildhästar (L),80.0 - 77.0,,
Lindesberg Latecomers (W),Hjorthagen Highlanders (L),105.0 - 92.0,,
Nya Englands Patrioter (W),Solna Big Moose (L),80.0 - 76.0,,
Vendelso Villains (L),Bagarmossen Barbarians (W),85.0 - 102.0,,
Danderyd Dragons (W),Gooberville Sea Lions (L),107.0 - 106.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gooberville Sea Lions,6,1,0,785
Nya Englands Patrioter,5,2,0,614
Danderyd Dragons,4,3,0,681
Solna Big Moose,4,3,0,653
Gröna Dalens Vildhästar,2,5,0,596
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Bagarmossen Barbarians,4,3,0,720
Vendelso Villains,3,4,0,665
Lindesberg Latecomers,3,4,0,617
Saltis 73'ers,2,5,0,630
Hjorthagen Highlanders,2,5,0,614
PERIOD 8: 10/21/14 - 10/27/14 MATCHUPS,@,RESULTS,,
Hjorthagen Highlanders (W),Bagarmossen Barbarians (L),124.0 - 75.0,,
Gooberville Sea Lions (W),Nya Englands Patrioter (L),153.0 - 122.0,,
Lindesberg Latecomers (W),Vendelso Villains (L),147.0 - 95.0,,
Solna Big Moose (W),Saltis 73'ers (L),124.0 - 93.0,,
Danderyd Dragons (L),Gröna Dalens Vildhästar (W),108.0 - 111.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gooberville Sea Lions,7,1,0,938
Solna Big Moose,5,3,0,777
Nya Englands Patrioter,5,3,0,736
Danderyd Dragons,4,4,0,789
Gröna Dalens Vildhästar,3,5,0,707
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Bagarmossen Barbarians,4,4,0,795
Lindesberg Latecomers,4,4,0,764
Vendelso Villains,3,5,0,760
Hjorthagen Highlanders,3,5,0,738
Saltis 73'ers,2,6,0,723
PERIOD 9: 10/28/14 - 11/3/14 MATCHUPS,@,RESULTS,,
Gröna Dalens Vildhästar (W),Nya Englands Patrioter (L),87.0 - 74.0,,
Saltis 73'ers (W),Bagarmossen Barbarians (L),113.0 - 109.0,,
Lindesberg Latecomers (L),Gooberville Sea Lions (W),87.0 - 148.0,,
Vendelso Villains (L),Hjorthagen Highlanders (W),92.0 - 107.0,,
Danderyd Dragons (L),Solna Big Moose (W),92.0 - 147.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gooberville Sea Lions,8,1,0,1086
Solna Big Moose,6,3,0,924
Nya Englands Patrioter,5,4,0,810
Danderyd Dragons,4,5,0,881
Gröna Dalens Vildhästar,4,5,0,794
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Bagarmossen Barbarians,4,5,0,904
Lindesberg Latecomers,4,5,0,851
Hjorthagen Highlanders,4,5,0,845
Vendelso Villains,3,6,0,852
Saltis 73'ers,3,6,0,836
PERIOD 10: 11/4/14 - 11/10/14 MATCHUPS,@,RESULTS,,
Lindesberg Latecomers (W),Bagarmossen Barbarians (L),133.0 - 130.0,,
Gooberville Sea Lions (L),Danderyd Dragons (W),102.0 - 119.0,,
Vendelso Villains (W),Saltis 73'ers (L),121.0 - 104.0,,
Solna Big Moose (W),Nya Englands Patrioter (L),123.0 - 101.0,,
Hjorthagen Highlanders (L),Gröna Dalens Vildhästar (W),72.0 - 79.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gooberville Sea Lions,8,2,0,1188
Solna Big Moose,7,3,0,1047
Danderyd Dragons,5,5,0,1000
Nya Englands Patrioter,5,5,0,911
Gröna Dalens Vildhästar,5,5,0,873
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Lindesberg Latecomers,5,5,0,984
Bagarmossen Barbarians,4,6,0,1034
Vendelso Villains,4,6,0,973
Hjorthagen Highlanders,4,6,0,917
Saltis 73'ers,3,7,0,940
PERIOD 11: 11/11/14 - 11/17/14 MATCHUPS,@,RESULTS,,
Bagarmossen Barbarians (W),Hjorthagen Highlanders (L),97.0 - 96.0,,
Solna Big Moose (L),Gröna Dalens Vildhästar (W),72.0 - 75.0,,
Danderyd Dragons (L),Vendelso Villains (W),77.0 - 79.0,,
